int	int	string	string	int	int[]	int	int	DTItemNum[]	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int[]	int[]	int[]	int	int	int	int	int	int	int	int
城市id	城市编号	城市名称	城市名称-英文	街道数量	街道ID	路演费用	路演目标	城市占领奖励	大使1性别0=不做要求1101=女1102=男	大使1大洲0=不做要求1201=美国1202=欧洲1203=亚洲	大使1类型0=不做要求1401=演技派1402=偶像派	大使1年龄0=不做要求1501=青春型1502=成熟型	大使1场面0=不做要求	大使1表演0=不做要求	大使1剧情0=不做要求	大使1艺术0=不做要求	大使1娱乐0=不做要求	大使2性别0=不做要求1101=女1102=男	大使2大洲0=不做要求1201=美国1202=欧洲1203=亚洲	大使2类型0=不做要求1=演技派2=偶像派	大使2年龄0=不做要求1=成熟型2=清纯型	大使2场面0=不做要求	大使2表演0=不做要求	大使2剧情0=不做要求	大使2艺术0=不做要求	大使2娱乐0=不做要求	大使3性别0=不做要求1101=女1102=男	大使3大洲0=不做要求1201=美国1202=欧洲1203=亚洲	大使3类型0=不做要求1=演技派2=偶像派	大使3年龄0=不做要求1=成熟型2=清纯型	大使3场面0=不做要求	大使3表演0=不做要求	大使3剧情0=不做要求	大使3艺术0=不做要求	大使3娱乐0=不做要求	大使4性别0=不做要求1101=女1102=男	大使4大洲0=不做要求1201=美国1202=欧洲1203=亚洲	大使4类型0=不做要求1=演技派2=偶像派	大使4年龄0=不做要求1=成熟型2=清纯型	大使4场面0=不做要求	大使4表演0=不做要求	大使4剧情0=不做要求	大使4艺术0=不做要求	大使4娱乐0=不做要求	大使5性别0=不做要求1101=女1102=男	大使5大洲0=不做要求1201=美国1202=欧洲1203=亚洲	大使5类型0=不做要求1=演技派2=偶像派	大使5年龄0=不做要求1=成熟型2=清纯型	大使5场面0=不做要求	大使5表演0=不做要求	大使5剧情0=不做要求	大使5艺术0=不做要求	大使5娱乐0=不做要求	城市占领固定收益	城市占领随机收益	订单品质权重=白；蓝；橙；紫	订单数量	期待值	前置城市0表示没有前置城市	下一个城市	剧情动画	新手引导	国家ID	电影推广收益
id	city_num	zh_cn_name	en_name	street_num	street_id	show_cost	show_need	hold_reward	envoy1_sex	envoy1_Continents	envoy1_type	envoy1_age	envoy1_scene	envoy1_performance	envoy1_plot	envoy1_art	envoy1_entertainment	envoy2_sex	envoy2_Continents	envoy2_type	envoy2_age	envoy2_scene	envoy2_performance	envoy2_plot	envoy2_art	envoy2_entertainment	envoy3_sex	envoy3_Continents	envoy3_type	envoy3_age	envoy3_scene	envoy3_performance	envoy3_plot	envoy3_art	envoy3_entertainment	envoy4_sex	envoy4_Continents	envoy4_type	envoy4_age	envoy4_scene	envoy4_performance	envoy4_plot	envoy4_art	envoy4_entertainment	envoy5_sex	envoy5_Continents	envoy5_type	envoy5_age	envoy5_scene	envoy5_performance	envoy5_plot	envoy5_art	envoy5_entertainment	drop_out	random_out	order_qua	order_num	expect	pre_id	next_city	cut_scene	new_user_guide	country	popularize_id
1101	1	洛杉矶	Los Angeles	3	11001;11002;11003	5000	36	2:5000;9004:5	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1101	0	0	0	0	0	0	0	0	1102	0	0	0	0	0	0	0	0	8;60	6104;5005	100;50;25;12	8	100	0	1102	0	0	101	1101
1102	2	纽约	New York	4	11004;11005;11006;11007	10000	51	2:10000;9004:5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1102	0	0	0	0	0	0	0	0	1101	0	0	0	0	0	0	0	0	8;80	6104	100;50;25;12	8	100	1101	1103	0	0	101	1102
1103	3	华盛顿	Washington	4	11008;11009;11010;11011	15000	66	2:50000;9002:50	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1101	0	0	0	0	0	0	0	0	1102	0	0	0	0	0	0	0	0	17;120	6105;5005	100;50;25;12	8	100	1102	1104	0	0	101	1103
1104	4	芝加哥	Chicago	4	11012;11013;11014;11015	30000	81	2:50000;9004:5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1102	0	0	0	0	0	0	0	0	1101	0	0	0	0	0	0	0	0	17;140	6105	100;50;25;12	8	100	1103	1105	0	0	101	1104
1105	5	休斯敦	Houston	4	11016;11017;11018;11019	50000	96	2:50000;9004:5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1101	0	0	0	0	0	0	0	0	1102	0	0	0	0	0	0	0	0	26;180	6103;5005	100;50;25;12	8	100	1104	1106	0	0	101	1105
1106	6	费城	Philadelphia	5	11020;11021;11022;11023;11024	60000	212	2:100000;9001:50	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	1102	0	0	0	0	0	0	0	0	1101	0	0	0	0	0	0	0	0	26;200	6103	100;50;25;12	8	100	1105	1107	0	0	101	1106
1107	7	底特律	Detroit	5	11025;11026;11027;11028;11029	70000	232	2:100000;9004:5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	1101	0	0	0	0	0	0	0	0	1102	0	0	0	0	0	0	0	0	35;200	6109;5005	100;50;25;12	8	100	1106	1108	0	0	101	1107
1108	8	波士顿	Boston	5	11030;11031;11032;11033;11034	80000	252	2:100000;9004:5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	1102	0	0	0	0	0	0	0	0	1101	0	0	0	0	0	0	0	0	35;200	6109	100;50;25;12	8	100	1107	1109	0	0	101	1108
