int	string	string[]	string[]	string
id	名称	当前档次信息	下一档次信息	名称
id	name	current_msg	next_msg	name_tips
1001	Block Rank 1	Claim {0} dollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} dollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	
1002	Block Rank 2	Claim {0} dollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} dollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	
1003	Block Rank 3	Claim {0} dollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} dollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	
1004	Block Rank 4	Claim {0} dollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} dollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	
1005	Block Rank 5	Claim {0} dollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} dollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	
1006	Block Rank 6	Claim {0} dollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} dollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	
1007	Block Rank 7	Claim {0} dollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} dollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	
1008	Block Rank 8	Claim {0} dollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} dollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	
1009	Block Rank 9	Claim {0} dollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} dollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	
1010	Block Rank 10	Claim {0} dollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} dollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	
2001	City Rank 1	Claim {0} dollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} dollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	
2002	City Rank 2	Claim {0} dollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} dollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	
2003	City Rank 3	Claim {0} dollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} dollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	
2004	City Rank 4	Claim {0} dollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} dollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	
2005	City Rank 5	Claim {0} dollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} dollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	
